Sector;Liquidity_Threshold
Financials;500000
Automotive;500000
Technology;500000
Industrials;500000
Healthcare;500000
Consumer;500000
Energy;500000
Chemicals;500000
Telecom;500000
Logistics;500000
RealEstate;500000
