Date,ADS.DE,AIR.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DHL.DE,DTE.DE,DTG.DE,ENR.DE,EOAN.DE,FME.DE,FRE.DE,HEN3.DE,HNR1.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,P911.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,SHL.DE,SIE.DE,SRT3.DE,SY1.DE,VNA.DE,VOW3.DE,WCH.DE,ZAL.DE
2017-01-31,1333715,132610,1710878,2483410,2859640,387965,2052243,326624,15593031,550298,109655,14032979,4216202.0,7848683,,,14253887,731757,1284017,481944,151455,4506189,5001716,369942,198966,585070,,436612,635811,365673,3927331,2460058,,3992107,405427,716602,1982662,1615633,148568,682085
2017-02-01,807251,128603,1291977,2483034,1870991,282105,1352724,283799,13822842,729354,102373,14965497,2848317.0,10879331,,,12254469,832964,1090942,614605,104000,4812830,4828162,353186,138085,610610,,323147,630320,264299,4362532,2332014,,6832828,243378,408925,2463456,1078447,365100,538409
2017-02-02,466670,53252,951510,1632446,1372514,302451,1294157,314268,11430052,569270,170963,28631586,1688948.0,7006478,,,9721488,528189,872219,536839,172927,7318641,11046507,263537,74303,547777,,312032,798890,195761,3397995,2535752,,3870279,127478,354670,1718003,998554,152309,314782
2017-02-03,509997,60848,1034327,2108247,1361887,265930,1084952,317240,10895198,1202069,56680,16501396,1910504.0,6085523,,,13307893,673017,873211,409691,160393,5270316,5193876,328280,99386,611564,,236157,385326,224851,3169505,1791065,,2214248,90634,360838,1394539,765096,95067,464758
2017-02-06,965588,83542,1675926,2383760,1969825,310415,1739679,332232,16758188,736930,133090,13810355,2476691.0,10222413,,,10687733,619076,1319102,473093,176275,5985120,4899104,367079,113104,637668,,470572,409425,259776,3438341,2418074,,3235710,128646,434841,1910101,1243901,104576,301594
2017-02-07,578766,98987,1181084,2242727,1703196,329842,1084469,279572,10813798,426138,142249,10955734,1825729.0,7760499,,,6125955,533144,871649,438987,175197,4535070,4529395,325867,132849,1047688,,302741,478856,147211,3866371,1563609,,2369085,76778,449948,2174558,741277,130722,286486
2017-02-08,480704,122339,1293333,2387166,2101487,354167,1552697,229342,17169337,539716,87619,16256155,2849707.0,8972554,,,9371655,588327,970413,478946,147106,4312484,4465350,548056,120112,650878,,395649,337939,137503,5678060,2341062,,3375868,106248,429188,3543315,1049799,98099,319943
2017-02-09,642175,114764,1394096,2010088,2608040,481054,1786771,278793,25711340,381074,43907,10696468,3129045.0,9542375,,,12535086,601851,995958,540416,173477,8850296,4788317,354945,131121,550693,,519996,348638,146095,5872236,1597555,,2430964,63281,502243,2916320,1286343,123064,576854
2017-02-10,473664,93651,1029765,1481949,1460989,447747,1225759,182164,15616240,364667,43619,9377818,2052738.0,7409204,,,7274426,685231,821942,494615,155597,5472513,3971245,458196,188036,604061,,227157,349832,120979,4665644,1838615,,1702442,171511,388467,1856075,995836,67670,341589
2017-02-13,415760,135317,1061521,1992778,1138213,191428,1707298,182881,15305585,291728,79190,8299897,2289937.0,8513883,,,12462574,370519,767858,246116,155200,3872774,3763276,383997,162949,391019,,331057,360748,117073,3011675,1654276,,1936969,81528,256714,1856399,1006323,140288,233482
