Sector;Liquidity_Threshold
Information Technology;10000000
Communication Services;10000000
Consumer Discretionary;10000000
Financials;10000000
Consumer Staples;10000000
Health Care;10000000
Energy;10000000
Industrials;10000000
Materials;10000000
Utilities;10000000
Real Estate;10000000
