Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
AMP,Ameriprise Financial Inc,"44,368.15M",485.96,0.07%,-3.89%,-4.74%,-3.0%,+152%,"1,335,245",13.37,1.26,Financials,Asset Management & Custody Banks
AIG,American International Group Inc,"42,324.66M",78.44,0.07%,+4.59%,+5.87%,+1.7%,+126%,"7,231,429",14.46,0.60,Financials,Multi-line Insurance
COIN,Coinbase Global,"41,311.91M",153.20,0.07%,-5.73%,-36.95%,-33.1%,-11%,"13,035,661",13.26,3.71,Financials,Financial Exchanges & Data
HIG,Hartford Insurance Group Inc,"39,609.38M",142.02,0.06%,+0.28%,+5.01%,+21.1%,+181%,"1,446,257",10.64,0.60,Financials,Property & Casualty Insurance
MSCI,MSCI Inc,"37,604.89M",511.84,0.06%,-0.74%,-12.73%,+2.1%,+28%,"1,188,655",32.63,1.30,Financials,Financial Exchanges & Data
PYPL,PayPal Holdings Inc,"37,268.32M",40.48,0.06%,-2.43%,-29.34%,-40.5%,-75%,"21,048,882",7.47,1.44,Financials,Transaction & Payment Processing Services
STT,State Street Corp,"36,729.72M",131.61,0.06%,-0.47%,-1.11%,+28.8%,+77%,"2,148,215",13.99,1.44,Financials,Asset Management & Custody Banks
PRU,Prudential Financial Inc,"36,619.95M",105.26,0.06%,+1.87%,-10.60%,-8.0%,+45%,"2,393,338",14.43,0.96,Financials,Life & Health Insurance
HBAN,Huntington Bancshares,"36,413.36M",17.94,0.06%,-3.39%,+0.22%,+1.6%,+37%,"34,749,058",12.88,0.95,Financials,Regional Banks
ACGL,Arch Capital Group Ltd,"35,758.94M",98.61,0.06%,+0.78%,+5.76%,+3.2%,+166%,"1,946,628",8.49,0.40,Financials,Property & Casualty Insurance
MTB,M&T Bank Corp,"35,639.88M",234.72,0.06%,-0.63%,+10.95%,+10.1%,+58%,"1,413,830",13.77,0.57,Financials,Regional Banks
FISV,Fiserv Inc,"33,405.86M",62.11,0.05%,-0.77%,-8.93%,-70.5%,-41%,"9,633,646",9.8,0.76,Financials,Transaction Processing Services
XYZ,Block Inc,"32,698.72M",53.81,0.05%,-6.09%,-23.41%,-33.5%,-70%,"9,685,005",27.06,2.67,Financials,Transaction & Payment Processing Services
RJF,Raymond James Financial Inc,"31,258.47M",158.60,0.05%,+0.08%,-7.19%,-1.6%,+152%,"2,757,732",15.52,1.00,Financials,Investment Banking & Brokerage
CFG,Citizens Financial Group Inc,"28,698.99M",66.86,0.05%,-1.02%,+11.06%,+32.4%,+63%,"5,319,406",17.29,1.06,Financials,Regional Banks
CBOE,Cboe Global Markets Inc,"28,110.49M",268.64,0.04%,-1.98%,+1.77%,+29.7%,+170%,"682,100",137.74,0.35,Financials,Financial Exchanges & Data
NTRS,Northern Trust Corp,"27,298.81M",146.50,0.04%,-1.64%,+0.23%,+33.1%,+47%,"1,084,648",16.76,1.28,Financials,Asset Management & Custody Banks
WRB,W R Berkley Corp,"26,982.03M",71.54,0.04%,+2.32%,+4.12%,+16.6%,+138%,"2,375,582",16.08,0.36,Financials,Property & Casualty Insurance
RF,Regions Financial Corp,"26,864.60M",30.95,0.04%,+0.42%,+9.52%,+15.7%,+68%,"15,241,065",13.45,1.02,Financials,Regional Banks
