Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
VRSN,"VeriSign, Inc","19,777.86M",215.68,0.03%,-2.00%,-13.26%,+13.6%,+12%,"670,056",24.51,0.76,Information Technology,Internet Services & Infrastructure
SMCI,Super Micro Computer Inc,"19,191.64M",32.04,0.03%,-3.87%,+6.37%,+2.1%,+823%,"23,059,120",24.42,1.51,Information Technology,"Technology Hardware, Storage & Peripherals"
PTC,PTC Inc,"18,516.40M",155.60,0.03%,-4.38%,-9.23%,-19.3%,+46%,"1,581,929",22.92,1.03,Information Technology,Application Software
HPQ,HP Inc,"18,139.28M",19.76,0.03%,-0.25%,-6.70%,-40.2%,-9%,"13,333,480",7.44,1.19,Information Technology,"Technology Hardware, Storage & Peripherals"
CDW,CDW Corp,"17,571.74M",134.97,0.03%,-5.52%,+1.10%,-36.5%,+3%,"2,083,321",16.7,1.04,Information Technology,Technology Distributors
FFIV,F5 Inc,"15,976.51M",282.67,0.03%,+0.10%,+4.48%,-7.3%,+45%,"411,131",23.4,1.01,Information Technology,Communications Equipment
TRMB,Trimble Inc,"15,495.73M",65.13,0.02%,-5.44%,-19.39%,-9.8%,+17%,"3,448,501",37.0,1.57,Information Technology,Electronic Equipment & Instruments
GEN,Gen Digital Inc,"14,941.63M",24.67,0.02%,-1.99%,-7.84%,-10.8%,+31%,"7,684,149",25.45,1.10,Information Technology,Systems Software
TYL,Tyler Technologies Inc,"14,597.93M",339.25,0.02%,-5.90%,-24.01%,-38.6%,+4%,"1,193,013",47.2,0.90,Information Technology,Application Software
AKAM,Akamai Technologies Inc,"13,649.95M",94.88,0.02%,+0.51%,+3.96%,-2.8%,-17%,"3,728,170",27.82,0.73,Information Technology,Internet Services & Infrastructure
ZBRA,Zebra Technologies Corp,"12,791.40M",252.50,0.02%,-1.59%,-4.51%,-40.0%,-37%,"1,086,201",25.46,1.64,Information Technology,Electronic Equipment & Instruments
GDDY,GoDaddy Inc,"12,257.20M",90.70,0.02%,-5.61%,-19.19%,-52.7%,+50%,"1,706,777",15.63,0.94,Information Technology,Internet Services & Infrastructure
IT,Gartner Inc,"11,643.08M",161.53,0.02%,+1.03%,-33.33%,-61.4%,+57%,"1,951,943",16.73,1.06,Information Technology,IT Consulting & Other Services
EPAM,Epam Systems Inc,"9,832.17M",177.99,0.02%,-7.11%,-15.97%,-17.9%,-43%,"1,245,347",27.16,1.72,Information Technology,IT Consulting & Other Services
SWKS,Skyworks Solutions Inc,"9,575.56M",63.68,0.02%,+2.20%,+8.21%,-37.2%,-59%,"2,582,147",23.35,1.30,Information Technology,Semiconductors
