Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
PAYX,Paychex Inc,"34,044.71M",94.84,0.05%,-4.23%,-15.84%,-30.2%,+20%,"5,621,789",21.49,0.89,Industrials,Human Resource & Employment Services
DOV,Dover Corp,"31,965.55M",233.07,0.05%,+1.56%,+14.56%,-1.1%,+55%,"1,267,423",29.26,1.28,Industrials,Industrial Machinery & Supplies & Components
ROL,Rollins Inc,"31,563.44M",65.60,0.05%,+0.97%,+7.52%,+28.0%,+54%,"4,142,398",61.6,0.79,Industrials,Environmental & Facilities Services
XYL,Xylem Inc,"30,864.69M",126.77,0.05%,-1.67%,-8.85%,+11.2%,+34%,"3,326,594",32.33,1.17,Industrials,Industrial Machinery & Supplies & Components
HUBB,Hubbell Inc,"27,421.83M",516.03,0.04%,+2.57%,+9.12%,+15.3%,+183%,"653,759",30.96,1.00,Industrials,Industrial Machinery & Supplies & Components
LUV,Southwest Airlines Co,"25,268.59M",51.43,0.04%,-4.88%,+17.29%,+54.7%,-11%,"9,757,229",65.08,1.09,Industrials,Passenger Airlines
VRSK,Verisk Analytics Inc,"24,218.32M",173.77,0.04%,+2.54%,-22.71%,-24.4%,+8%,"4,181,570",26.72,0.82,Industrials,Research & Consulting Services
EFX,Equifax Inc,"23,791.04M",197.60,0.04%,-2.52%,-10.85%,-26.7%,+13%,"2,689,147",37.43,1.56,Industrials,Research & Consulting Services
VLTO,Veralto Corp,"23,588.50M",95.00,0.04%,+2.36%,-6.77%,-4.3%,+18%,"3,240,794",25.29,--,Industrials,Environmental & Facilities Services
CHRW,CH Robinson Worldwide Inc,"23,194.43M",196.33,0.04%,-0.14%,+13.79%,+96.0%,+71%,"1,655,057",40.62,0.90,Industrials,Air Freight & Logistics
LDOS,Leidos Holdings Inc,"22,119.78M",173.00,0.04%,-11.15%,-11.55%,+32.6%,+72%,"1,487,204",16.18,0.62,Industrials,Diversified Support Services
JBHT,J.B. Hunt Transport Services Inc,"21,793.95M",230.38,0.03%,+0.58%,+11.66%,+18.4%,+42%,"883,443",37.49,1.25,Industrials,Cargo Ground Transportation
EXPD,Expeditors International of Washington Inc,"21,696.50M",161.89,0.03%,+0.11%,+0.48%,+41.4%,+57%,"1,200,829",26.35,1.13,Industrials,Air Freight & Logistics
SNA,Snap-On Inc,"19,903.19M",382.68,0.03%,+1.40%,+6.85%,+3.1%,+101%,"574,194",19.94,0.78,Industrials,Industrial Machinery & Supplies & Components
BR,Broadridge Financial Solutions Inc,"19,561.46M",167.55,0.03%,-2.88%,-24.87%,-17.3%,+46%,"2,320,090",18.55,0.99,Industrials,Data Processing & Outsourced Services
LII,Lennox International Inc,"19,401.35M",557.51,0.03%,+1.63%,+4.55%,-16.4%,+77%,"621,794",24.49,1.18,Industrials,Building Products
FTV,Fortive Corp,"18,399.71M",58.71,0.03%,-5.18%,+5.76%,-13.8%,+3%,"8,820,820",30.31,1.10,Industrials,Industrial Machinery & Supplies & Components
TXT,Textron Inc,"17,142.68M",97.28,0.03%,+1.47%,+4.29%,+15.1%,+80%,"1,385,917",19.0,0.97,Industrials,Aerospace & Defense
J,Jacobs Solutions Inc,"16,720.18M",142.36,0.03%,-5.82%,+2.04%,-2.5%,+48%,"1,219,419",37.18,0.77,Industrials,Construction & Engineering
PNR,Pentair PLC,"16,449.09M",100.52,0.03%,+1.93%,-2.48%,+1.6%,+96%,"1,649,252",25.61,1.23,Industrials,Industrial Machinery & Supplies & Components
NDSN,Nordson Corp,"16,401.98M",294.47,0.03%,-0.45%,+12.22%,+24.7%,+20%,"670,423",34.55,0.99,Industrials,Industrial Machinery & Supplies & Components
MAS,Masco Corp,"15,884.90M",76.48,0.03%,-1.72%,+9.96%,-16.6%,+16%,"4,807,372",19.61,1.27,Industrials,Building Products
IEX,IDEX Corp,"15,829.28M",211.48,0.03%,-1.44%,+13.50%,-11.5%,-11%,"1,306,885",33.43,0.98,Industrials,Industrial Machinery & Supplies & Components
ALLE,Allegion PLC,"15,432.92M",179.39,0.02%,+0.25%,+11.10%,+24.6%,+37%,"567,023",24.27,1.03,Industrials,Building Products
HII,Huntington Ingalls Industries Inc,"15,409.55M",392.70,0.02%,-1.67%,-1.39%,+113.2%,+99%,"508,579",25.54,0.34,Industrials,Aerospace & Defense
BLDR,Builders FirstSource Inc,"14,037.03M",126.94,0.02%,-1.15%,+2.30%,-31.6%,+152%,"2,610,051",24.15,1.54,Industrials,Building Products
SWK,Stanley Black & Decker Inc,"14,022.19M",90.53,0.02%,-1.34%,+9.85%,-10.7%,-58%,"1,706,931",34.22,1.19,Industrials,Industrial Machinery & Supplies & Components
GNRC,Generac Holdings Inc,"12,615.61M",214.99,0.02%,+17.93%,+37.29%,+12.5%,-40%,"4,187,951",40.91,1.80,Industrials,Electrical Components & Equipment
AOS,A O Smith Corp,"11,169.83M",80.22,0.02%,-0.31%,+12.97%,+9.2%,+22%,"1,104,818",20.85,1.33,Industrials,Building Products
PAYC,Paycom Software Inc,"6,518.37M",118.71,0.01%,-4.99%,-25.31%,-35.1%,-65%,"3,025,608",14.76,0.80,Industrials,Human Resource & Employment Services
