Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
NVR,NVR Inc,"22,672.30M","8,097.25",0.04%,+0.04%,+6.66%,-4.8%,+79%,"23,817",18.55,1.03,Consumer Discretionary,Homebuilding
RL,Ralph Lauren Corp,"21,764.74M",359.51,0.03%,+0.93%,-1.03%,+41.5%,+241%,"788,417",24.47,1.49,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
GPC,Genuine Parts Co,"20,763.56M",149.26,0.03%,+1.76%,+15.52%,+19.6%,+22%,"972,633",25.69,0.73,Consumer Discretionary,Distributors
LULU,Lululemon Athletica Inc,"20,630.14M",175.86,0.03%,-2.64%,-15.87%,-57.9%,-40%,"1,566,331",12.23,1.01,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
APTV,Aptiv PLC,"17,819.94M",83.76,0.03%,-1.63%,-3.54%,+21.4%,-42%,"2,493,976",110.56,1.49,Consumer Discretionary,Automotive Parts & Equipment
DECK,Deckers Outdoor Corp,"16,375.35M",115.36,0.03%,-0.13%,+13.31%,-32.7%,+117%,"2,172,800",16.3,1.15,Consumer Discretionary,Footwear
HAS,Hasbro Inc,"14,859.20M",105.88,0.02%,+1.81%,+22.21%,+54.4%,-12%,"2,756,025",-46.04,0.53,Consumer Discretionary,Leisure Products
BBY,Best Buy Co Inc,"14,055.94M",67.08,0.02%,-1.41%,-0.13%,-24.2%,-33%,"3,560,390",22.13,1.46,Consumer Discretionary,Computer & Electronics Retail
DPZ,Domino's Pizza Inc,"12,975.36M",384.00,0.02%,-1.47%,-7.68%,-8.6%,+9%,"1,332,508",22.44,1.17,Consumer Discretionary,Restaurants
WYNN,Wynn Resorts Ltd,"12,009.57M",115.51,0.02%,-1.16%,-1.14%,+23.7%,+7%,"1,670,929",24.43,1.01,Consumer Discretionary,Casinos & Gaming
NCLH,Norwegian Cruise Line Holdings Ltd,"10,448.22M",22.95,0.02%,-2.59%,-5.71%,-22.5%,-12%,"15,717,223",17.48,2.02,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
POOL,Pool Corp,"10,112.63M",271.48,0.02%,+1.55%,+5.04%,-26.2%,-39%,"829,625",24.78,1.22,Consumer Discretionary,Distributors
MGM,MGM Resorts International,"9,392.52M",36.36,0.01%,-2.68%,+4.42%,-2.7%,+16%,"3,388,145",48.27,1.39,Consumer Discretionary,Casinos & Gaming
