Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
PODD,Insulet Corp,"17,647.30M",250.85,0.03%,-0.62%,-9.94%,-8.1%,+11%,"670,735",72.78,1.42,Health Care,Health Care Equipment
HOLX,Hologic Inc,"16,763.09M",75.09,0.03%,-0.08%,+0.31%,+3.9%,+2%,"1,557,213",31.16,0.73,Health Care,Health Care Equipment
COO,Cooper Companies Inc,"16,276.14M",83.05,0.03%,+1.81%,-0.22%,-15.7%,-10%,"1,348,824",44.31,1.03,Health Care,Health Care Supplies
MRNA,Moderna Inc,"15,826.45M",40.51,0.03%,-3.54%,+19.71%,+11.8%,-72%,"14,096,228",-5.03,1.34,Health Care,Biotechnology
UHS,Universal Health Services Inc,"14,452.87M",231.32,0.02%,+8.71%,+12.31%,+6.7%,+59%,"1,056,924",10.99,1.26,Health Care,Health Care Facilities
ALGN,Align Technology Inc,"14,171.34M",197.51,0.02%,+0.63%,+14.83%,-25.6%,-71%,"1,095,480",34.9,1.81,Health Care,Health Care Supplies
SOLV,Solventum Corp,"14,134.44M",81.49,0.02%,+1.28%,-4.90%,+3.9%,+14%,"707,327",9.37,--,Health Care,Health Care Technology
RVTY,Revvity Inc,"11,462.72M",101.10,0.02%,-3.48%,-2.69%,-13.7%,-33%,"1,503,444",48.81,1.09,Health Care,Health Care Equipment
BAX,Baxter International Inc,"11,448.12M",22.27,0.02%,+1.50%,+10.52%,-38.4%,-76%,"10,634,598",-32.16,0.57,Health Care,Health Care Equipment
TECH,Bio-Techne Corp,"9,926.75M",63.45,0.02%,-2.08%,-4.67%,-12.9%,-26%,"1,907,220",125.0,1.47,Health Care,Life Sciences Tools & Services
DVA,DaVita Inc,"9,889.71M",144.27,0.02%,+3.58%,+31.04%,-38.0%,-3%,"1,138,743",15.1,0.99,Health Care,Health Care Services
HSIC,Henry Schein Inc,"9,616.55M",81.69,0.02%,+0.83%,+7.30%,-5.7%,+13%,"1,317,382",25.81,0.89,Health Care,Health Care Distributors
CRL,Charles River Laboratories International Inc,"8,169.54M",165.98,0.01%,-8.42%,-24.15%,+27.8%,-20%,"1,955,107",-106.74,1.63,Health Care,Life Sciences Tools & Services
MOH,Molina Healthcare Inc,"6,255.15M",122.65,0.01%,-2.22%,-32.54%,-42.1%,-18%,"2,437,600",13.75,0.52,Health Care,Managed Health Care
