Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
MRSH,Marsh & McLennan Companies Inc,"83,752.76M",173.00,0.13%,-1.33%,,,,"4,705,589",20.54,0.74,--,--
CIEN,Ciena Corp,"41,867.66M",297.25,0.07%,-0.49%,,,,"3,227,710",349.95,1.13,--,--
